
(1649282381.756818) can0 7F0#021A870000000000	'........'
(1649282381.756818) can0 53E#10165A8702840205	'..Z.....'
(1649282381.756818) can0 7F0#3000000000000000	'0.......'
(1649282381.756818) can0 53E#21FF000308031135	'!......5'
(1649282381.756818) can0 53E#2236303436303036	'"6046006'
(1649282381.756818) can0 53E#23414C0000000000	'#AL.....'
(1649282381.756818) can0 7F0#023E010000000000	'.>......'
(1649282381.756818) can0 53E#017E4C0000000000	'.~L.....'
(1649282381.756818) can0 7F0#023E010000000000	'.>......'
(1649282381.756818) can0 53E#017E4C0000000000	'.~L.....'
(1649282381.756818) can0 7F0#023E010000000000	'.>......'
(1649282381.756818) can0 53E#017E4C0000000000	'.~L.....'
(1649282381.756818) can0 7F0#023E010000000000	'.>......'
(1649282381.756818) can0 53E#017E4C0000000000	'.~L.....'
(1649282381.756818) can0 7F0#023E010000000000	'.>......'
(1649282381.756818) can0 53E#017E4C0000000000	'.~L.....'
(1649282381.756818) can0 7F0#0221EA0000000000	'.!......'
(1649282381.756818) can0 53E#0561EA09FF000000	'.a......'
(1649282381.756818) can0 7F0#0221130000000000	'.!......'
(1649282381.756818) can0 53E#03611373FF000000	'.a.s....'
(1649282381.756818) can0 7F0#0221100000000000	'.!......'
(1649282381.756818) can0 53E#0461109E00000000	'.a......'
(1649282381.756818) can0 7F0#0221400000000000	'.!@.....'
(1649282381.756818) can0 53E#037F213100000000	'..!1....'
(1649282381.756818) can0 7F0#0221480000000000	'.!H.....'
(1649282381.756818) can0 53E#037F213100000000	'..!1....'
(1649282381.756818) can0 7F0#0221430000000000	'.!C.....'
(1649282381.756818) can0 53E#037F213100000000	'..!1....'
(1649282381.756818) can0 7F0#0221440000000000	'.!D.....'
(1649282381.756818) can0 53E#037F213100000000	'..!1....'
(1649282381.756818) can0 7F0#0221130000000000	'.!......'
(1649282381.756818) can0 53E#0361137300000000	'.a.s....'
(1649282381.756818) can0 7F0#0221100000000000	'.!......'
(1649282381.756818) can0 53E#0461109E00000000	'.a......'
(1649282381.756818) can0 7F0#0221400000000000	'.!@.....'
(1649282381.756818) can0 53E#037F213100000000	'..!1....'
(1649282381.756818) can0 7F0#0221480000000000	'.!H.....'
